dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,4,59.44109,byplayer,0,3,21,1,1,115.72169,MCG_EviLLee,account.9d6b5b2a67eb4f3388ccda5abc86d1b6,0,4839.182,0,0,0,1397,0,1803.3843,4,5,265.2928352355957,MCG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,b1ced6b0-c2c6-48ec-94ac-3ef3607f3e94,"['MCG_EviLLee', 'MCG_LingDuuuuuu', 'MCG_Summer', 'MCG_Tanki995']",5,1,1,6734.535875,690.2943600000001,880.388277053833,1487.0
1,0,5,210.30177,byplayer,0,2,34,0,0,0.0,MCG_LingDuuuuuu,account.510027e2e1a542b2bfb3532014710f1f,0,4436.5913,0,0,0,1528,0,1980.5681,2,5,153.29453659057617,MCG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,b1ced6b0-c2c6-48ec-94ac-3ef3607f3e94,"['MCG_EviLLee', 'MCG_LingDuuuuuu', 'MCG_Summer', 'MCG_Tanki995']",5,1,1,6734.535875,690.2943600000001,880.388277053833,1487.0
1,1,2,128.7193,byplayer,0,2,36,0,0,0.0,MCG_Summer,account.5cdfa06fd28a4172972eb5bcda665952,0,5451.165,0,0,0,1502,0,1146.3188,4,5,228.76787567138672,MCG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,b1ced6b0-c2c6-48ec-94ac-3ef3607f3e94,"['MCG_EviLLee', 'MCG_LingDuuuuuu', 'MCG_Summer', 'MCG_Tanki995']",5,1,1,6734.535875,690.2943600000001,880.388277053833,1487.0
1,0,5,291.8322,byplayer,0,4,35,0,0,0.0,MCG_Tanki995,account.5c57574acf7043a28e9420737bd71988,0,5380.1895,0,0,0,1521,2,1900.7445,5,5,233.0330295562744,MCG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,b1ced6b0-c2c6-48ec-94ac-3ef3607f3e94,"['MCG_EviLLee', 'MCG_LingDuuuuuu', 'MCG_Summer', 'MCG_Tanki995']",5,1,1,6734.535875,690.2943600000001,880.388277053833,1487.0
1,1,4,252.70549,byplayer,1,2,9,1,3,173.31688,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,0,5059.1704,0,0,0,1069,0,1039.8186,5,13,203.9283103942871,DNW,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,1428d3eb-1005-40d8-aa84-954ee5094379,"['DNW_Salute', 'DNW_Rex', 'DNW_LeClo', 'DNW_seoul']",13,5,2,5285.35829,747.5310999999999,505.92830657958984,907.25
0,0,2,131.55318,byplayer,0,0,54,0,0,0.0,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,0,4232.9883,0,0,0,1060,0,1053.5983,7,13,101.99999618530273,DNW,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,1428d3eb-1005-40d8-aa84-954ee5094379,"['DNW_Salute', 'DNW_Rex', 'DNW_LeClo', 'DNW_seoul']",13,5,2,5285.35829,747.5310999999999,505.92830657958984,907.25
1,0,3,135.6824,byplayer,0,0,27,1,1,12.324682,DNW_LeClo,account.d809f466098c4dfd85be5180e088fa7f,0,4825.199,0,0,0,749,0,537.8074,4,13,100.0,DNW,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,1428d3eb-1005-40d8-aa84-954ee5094379,"['DNW_Salute', 'DNW_Rex', 'DNW_LeClo', 'DNW_seoul']",13,5,2,5285.35829,747.5310999999999,505.92830657958984,907.25
3,1,3,227.59003,byplayer,0,0,26,1,1,32.026672,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,0,3441.8735,0,0,0,751,1,950.97766,2,13,100.0,DNW,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,1428d3eb-1005-40d8-aa84-954ee5094379,"['DNW_Salute', 'DNW_Rex', 'DNW_LeClo', 'DNW_seoul']",13,5,2,5285.35829,747.5310999999999,505.92830657958984,907.25
0,0,0,0.0,byplayer,0,1,55,0,0,0.0,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,4500.182,0,0,0,1038,0,887.91327,3,14,175.00000190734863,BBL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,f163e312-8d03-46cf-8a99-fa277e658ca3,"['BBL_CodeMarco', 'BBL_mert', 'BBL_Smash', 'BBL_Mitraleius']",14,0,0,5097.0448424999995,186.872998,474.99999809265137,998.75
0,0,0,22.346188,byplayer,0,0,56,0,0,0.0,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,1,4750.371,0,0,0,1038,0,963.8812,4,14,100.0,BBL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,f163e312-8d03-46cf-8a99-fa277e658ca3,"['BBL_CodeMarco', 'BBL_mert', 'BBL_Smash', 'BBL_Mitraleius']",14,0,0,5097.0448424999995,186.872998,474.99999809265137,998.75
0,0,1,72.876816,byplayer,0,0,58,0,0,0.0,BBL_Smash,account.c75b809eb47e4345843058494674d64c,0,3685.4668,0,0,0,946,0,1251.5402,6,14,99.99999618530273,BBL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,f163e312-8d03-46cf-8a99-fa277e658ca3,"['BBL_CodeMarco', 'BBL_mert', 'BBL_Smash', 'BBL_Mitraleius']",14,0,0,5097.0448424999995,186.872998,474.99999809265137,998.75
0,0,2,91.649994,byplayer,0,0,57,0,0,0.0,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,0,2925.4307,0,0,0,973,0,1423.3942,4,14,100.0,BBL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,f163e312-8d03-46cf-8a99-fa277e658ca3,"['BBL_CodeMarco', 'BBL_mert', 'BBL_Smash', 'BBL_Mitraleius']",14,0,0,5097.0448424999995,186.872998,474.99999809265137,998.75
1,0,5,230.29031,byplayer,0,9,12,1,2,33.96034,GNL_Corn,account.15923c996fb440a4984764eb949a6f0d,0,2333.8357,0,0,0,1328,0,1794.3007,4,6,267.7069911956787,GNL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,08e7f02e-ac4c-44ba-973f-ca0ec2bf4fcf,"['GNL_Corn', 'GNL_Americano', 'GNL_Heaven', 'GNL_Tosi']",6,2,1,3531.2104,368.70131000000003,797.7397556304932,1104.5
0,0,4,91.791,byplayer,0,11,37,0,0,0.0,GNL_Americano,account.2f99f4b4be7f440d8a4fc98fe40f2143,0,2403.37,0,0,0,1119,0,1456.1222,8,6,294.0765781402588,GNL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,08e7f02e-ac4c-44ba-973f-ca0ec2bf4fcf,"['GNL_Corn', 'GNL_Americano', 'GNL_Heaven', 'GNL_Tosi']",6,2,1,3531.2104,368.70131000000003,797.7397556304932,1104.5
0,0,1,0.0,byplayer,0,0,39,0,0,0.0,GNL_Heaven,account.cd465904d99b4669a9e43f368d7c0e71,0,2108.5198,0,0,0,985,0,1038.949,5,6,100.0,GNL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,08e7f02e-ac4c-44ba-973f-ca0ec2bf4fcf,"['GNL_Corn', 'GNL_Americano', 'GNL_Heaven', 'GNL_Tosi']",6,2,1,3531.2104,368.70131000000003,797.7397556304932,1104.5
0,1,4,46.62,byplayer,0,2,38,0,0,0.0,GNL_Tosi,account.0fed1c0f03eb4b2d84a90eae6c2360cc,0,1759.2136,0,0,0,986,0,1230.5306,3,6,135.95618629455566,GNL,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,08e7f02e-ac4c-44ba-973f-ca0ec2bf4fcf,"['GNL_Corn', 'GNL_Americano', 'GNL_Heaven', 'GNL_Tosi']",6,2,1,3531.2104,368.70131000000003,797.7397556304932,1104.5
3,0,2,408.1604,byplayer,2,4,13,1,2,155.11507,DIG_Shinboi,account.b04e330e27b748d6be6ae18cf4594cb4,0,2778.9863,0,0,0,1219,0,2412.5103,2,10,240.61721801757812,DIG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,23efc29c-0f1e-461d-9be8-15ad43b024ce,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",10,5,4,5748.280075000001,1218.53915,704.2090549468994,1206.75
2,0,4,276.4283,byplayer,0,2,8,2,3,102.85621,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,0,3454.9956,0,0,0,1217,0,2167.505,5,10,187.48779106140137,DIG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,23efc29c-0f1e-461d-9be8-15ad43b024ce,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",10,5,4,5748.280075000001,1218.53915,704.2090549468994,1206.75
1,2,2,381.89154,byplayer,0,1,48,0,0,0.0,DIG_sparkingg,account.a764ca4e30e1471892434e8467c7ae93,0,3020.57,0,0,0,1172,0,2282.728,3,10,162.03999710083008,DIG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,23efc29c-0f1e-461d-9be8-15ad43b024ce,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",10,5,4,5748.280075000001,1218.53915,704.2090549468994,1206.75
2,2,1,152.05891,byplayer,0,1,47,0,0,0.0,DIG_Poonage,account.8518fc26f0794a5a9bbb6327cd9237ff,0,5039.237,0,0,0,1219,0,1836.5881,4,10,114.06404876708984,DIG,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,23efc29c-0f1e-461d-9be8-15ad43b024ce,"['DIG_Shinboi', 'DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Poonage']",10,5,4,5748.280075000001,1218.53915,704.2090549468994,1206.75
0,0,0,56.399998,byplayer,0,0,53,0,0,0.0,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,0,658.5776,0,0,0,334,0,402.0205,3,12,99.99999809265137,ENCE,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,e7ff129f-221c-449d-9e9c-21fbc0216a13,"['ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Rustanmar']",12,3,3,5901.5979,483.553718,701.6654739379883,901.75
2,1,4,183.10963,byplayer,1,1,15,2,2,32.496647,ENCE_SKUIJKE,account.d298860040d14f0ca5bf45a1e266ffe6,1,6950.844,0,0,0,1118,0,965.6231,4,12,190.52000045776367,ENCE,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,e7ff129f-221c-449d-9e9c-21fbc0216a13,"['ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Rustanmar']",12,3,3,5901.5979,483.553718,701.6654739379883,901.75
1,2,2,144.04408,byplayer,0,1,52,0,0,0.0,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,6513.199,0,0,0,1118,0,874.37354,4,12,199.99999618530273,ENCE,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,e7ff129f-221c-449d-9e9c-21fbc0216a13,"['ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Rustanmar']",12,3,3,5901.5979,483.553718,701.6654739379883,901.75
1,0,2,100.00001,byplayer,0,1,25,1,1,50.40655,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,6429.998,0,0,0,1037,0,811.75586,9,12,211.1454792022705,ENCE,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,e7ff129f-221c-449d-9e9c-21fbc0216a13,"['ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Rustanmar']",12,3,3,5901.5979,483.553718,701.6654739379883,901.75
2,2,2,533.78796,byplayer,0,2,32,0,0,0.0,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,2868.175,0,0,0,1503,0,1275.1914,4,4,204.1850347518921,NAVI,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,0396500d-3818-4026-a147-489a944e6f35,"['NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_alya', 'NAVI_xmpl']",4,3,2,4613.579299999999,1637.2842500000002,700.2116537094116,1491.75
1,0,1,186.23183,byplayer,0,0,33,0,0,0.0,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,2703.5212,0,0,0,1419,0,1503.8433,4,4,100.0,NAVI,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,0396500d-3818-4026-a147-489a944e6f35,"['NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_alya', 'NAVI_xmpl']",4,3,2,4613.579299999999,1637.2842500000002,700.2116537094116,1491.75
2,0,3,372.13812,byplayer,0,4,11,1,2,354.12,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,4087.5774,0,0,0,1497,0,1182.2443,4,4,206.48577690124512,NAVI,713597a5-bfab-4199-ba62-11fc01a4f4c5,2021-12-05T12:52:47Z,Erangel (Remastered),1649,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/13/22/58b638e8-55ce-11ec-9c21-16512f2173af-telemetry.json,0396500d-3818-4026-a147-489a944e6f35,"['NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_alya', 'NAVI_xmpl']",4,3,2,4613.579299999999,1637.2842500000002,700.2116537094116,1491.75
