dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,6,379.94208,byplayer,0,6,20,1,1,271.63336,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,0,5817.3213,0,0.0,0,1406,0,1095.8203,2,5,281.14906787872314,17,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,407449c3-128f-453e-90dc-712fd6d69b1c,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",5,4,0,6557.921025,863.6110699999999,792.376763343811,1391.5
0,0,0,0.0,byplayer,0,0,37,0,0,0.0,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,4679.148,0,0.0,0,1147,0,921.9509,3,5,100.0,17,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,407449c3-128f-453e-90dc-712fd6d69b1c,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",5,4,0,6557.921025,863.6110699999999,792.376763343811,1391.5
3,0,9,382.8427,byplayer,1,1,12,2,2,118.21347,17_Xbei,account.51374cc978324613854343ddaf025cd7,1,5686.5854,0,0.0,0,1557,0,1296.2323,6,5,184.22769927978516,17,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,407449c3-128f-453e-90dc-712fd6d69b1c,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",5,4,0,6557.921025,863.6110699999999,792.376763343811,1391.5
1,0,7,100.82629,byplayer,0,1,19,1,1,173.84068,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,5464.0044,0,0.0,0,1456,0,1270.6215,4,5,226.99999618530273,17,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,407449c3-128f-453e-90dc-712fd6d69b1c,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",5,4,0,6557.921025,863.6110699999999,792.376763343811,1391.5
1,0,5,198.58661,byplayer,0,1,50,0,0,0.0,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,1808.4017,0,0.0,0,1292,0,1543.3693,5,12,254.52671432495117,FURY,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,7ab644ec-0bc8-4ebf-9abd-de388804bc8c,"['FURY_Ykikamucow', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Insight']",12,1,0,2713.223215,578.8528100000001,684.1489028930664,784.5
0,0,0,0.0,byplayer,0,0,51,0,0,0.0,FURY_Ronon,account.47ec2801a759472eae15f8a5bf923ef6,0,1453.1991,0,0.0,0,264,0,189.24228,5,12,100.00000381469727,FURY,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,7ab644ec-0bc8-4ebf-9abd-de388804bc8c,"['FURY_Ykikamucow', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Insight']",12,1,0,2713.223215,578.8528100000001,684.1489028930664,784.5
1,0,0,119.8,byplayer,0,0,31,1,1,8.206472,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,1920.7288,0,0.0,0,290,0,219.80638,3,12,91.93899154663086,FURY,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,7ab644ec-0bc8-4ebf-9abd-de388804bc8c,"['FURY_Ykikamucow', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Insight']",12,1,0,2713.223215,578.8528100000001,684.1489028930664,784.5
0,0,3,260.4662,byplayer,0,3,49,0,0,0.0,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,2213.995,0,0.0,0,1292,0,1504.1503,2,12,237.6831932067871,FURY,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,7ab644ec-0bc8-4ebf-9abd-de388804bc8c,"['FURY_Ykikamucow', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Insight']",12,1,0,2713.223215,578.8528100000001,684.1489028930664,784.5
0,0,5,0.0,byplayer,0,3,53,0,0,0.0,AAP_SilentKnight,account.008c668f923d4a758c9d50e7fb96223b,0,6835.562,0,0.0,0,1273,0,928.08655,3,13,189.43598175048828,AAP,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,9a10a06c-53f8-42ee-8d89-cb7ccc280b96,"['AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG', 'AAP_AljnBOTz']",13,1,0,8238.5045875,372.183945,695.5190811157227,1265.25
0,0,2,0.0,byplayer,0,3,54,0,0,0.0,AAP_CeeJay18,account.89b426db942140b7bc7459dd539bae1c,0,6212.765,0,0.0,0,1210,0,1447.1067,3,13,178.19711875915527,AAP,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,9a10a06c-53f8-42ee-8d89-cb7ccc280b96,"['AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG', 'AAP_AljnBOTz']",13,1,0,8238.5045875,372.183945,695.5190811157227,1265.25
0,0,3,121.977295,byplayer,0,0,52,0,0,0.0,AAP_MADDOG,account.2f1e8e20894f4643a34d4a5096b007bf,0,7362.574,0,0.0,0,1289,0,1123.0715,4,13,127.88030052185059,AAP,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,9a10a06c-53f8-42ee-8d89-cb7ccc280b96,"['AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG', 'AAP_AljnBOTz']",13,1,0,8238.5045875,372.183945,695.5190811157227,1265.25
1,0,2,250.20665,byplayer,1,1,32,1,1,3.9909334,AAP_AljnBOTz,account.93f365058f0b4e96a516d267af2ea8d0,0,7821.7314,0,0.0,0,1289,0,1223.1212,3,13,200.00568008422852,AAP,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,9a10a06c-53f8-42ee-8d89-cb7ccc280b96,"['AAP_SilentKnight', 'AAP_CeeJay18', 'AAP_MADDOG', 'AAP_AljnBOTz']",13,1,0,8238.5045875,372.183945,695.5190811157227,1265.25
1,2,3,231.35971,byplayer,0,4,40,0,0,0.0,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,2229.0154,0,0.0,0,1394,0,1321.6086,3,7,218.76104354858398,TSM,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,a1cbe286-6610-4922-bd96-2e51d1789ea6,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",7,2,3,3794.704125,1278.88608,884.2459154129028,1340.5
3,0,5,640.9171,byplayer,0,10,22,1,1,84.90403,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,2778.795,0,0.0,0,1394,0,1622.5786,7,7,273.6825981140137,TSM,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,a1cbe286-6610-4922-bd96-2e51d1789ea6,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",7,2,3,3794.704125,1278.88608,884.2459154129028,1340.5
1,1,5,262.75714,byplayer,1,5,23,1,1,155.69244,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,2,2914.8352,0,0.0,0,1384,0,1732.7773,5,7,236.79076671600342,TSM,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,a1cbe286-6610-4922-bd96-2e51d1789ea6,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",7,2,3,3794.704125,1278.88608,884.2459154129028,1340.5
0,0,1,143.85213,byplayer,0,1,41,0,0,0.0,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,1432.1897,0,0.0,0,1190,0,1147.0167,7,7,155.01150703430176,TSM,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,a1cbe286-6610-4922-bd96-2e51d1789ea6,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",7,2,3,3794.704125,1278.88608,884.2459154129028,1340.5
0,0,4,149.74237,byplayer,0,3,38,0,0,0.0,OATH_Snakers,account.924bf338d8fc4b5abb0bef29b622e9bb,1,1558.4799,0,34.224037,0,1482,0,3264.3865,4,6,289.58010959625244,OATH,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,e619f5f9-f2ca-4bd2-a1d2-9253c316b12b,"['OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart']",6,3,2,4711.98865125,710.39216,766.5304651260376,1467.25
0,1,2,260.94363,byzone,0,1,21,1,1,43.220596,OATH_Balefrost,account.039c6519067b474a948c19655de4e683,1,2990.387,0,15.819824,0,1480,0,1386.1449,3,6,191.02799606323242,OATH,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,e619f5f9-f2ca-4bd2-a1d2-9253c316b12b,"['OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart']",6,3,2,4711.98865125,710.39216,766.5304651260376,1467.25
2,0,2,163.06743,byplayer,0,1,13,1,2,223.84506,OATH_Relo,account.a7e8f8f134334a6d933ee99183e3251f,0,2084.831,0,10.056999,0,1449,0,2659.8835,4,6,175.92235946655273,OATH,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,e619f5f9-f2ca-4bd2-a1d2-9253c316b12b,"['OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart']",6,3,2,4711.98865125,710.39216,766.5304651260376,1467.25
0,1,0,136.63873,byplayer,0,0,39,0,0,0.0,OATH_Kickstart,account.b7f55e9dddd84613863c6dd68aa9e415,1,1170.9158,0,14.736245,0,1458,0,3658.0889,4,6,110.0,OATH,2be527df-32ae-4af5-97fa-82a4ce7f92ec,2021-12-02T13:05:14Z,Erangel (Remastered),1859,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/13/38/1350bdd9-5375-11ec-9c21-16512f2173af-telemetry.json,e619f5f9-f2ca-4bd2-a1d2-9253c316b12b,"['OATH_Snakers', 'OATH_Balefrost', 'OATH_Relo', 'OATH_Kickstart']",6,3,2,4711.98865125,710.39216,766.5304651260376,1467.25
