dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,101,0,0,0.0,AG_ThanawatTH,account.811ca6491d414b0894402fb6566a60e6,0,3008.2705,0,0,0,652.134,0,819.6041,4,16,100.0,AG,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2486ae45-0815-4df3-9269-c5d4a00bf7ae,"['AG_ThanawatTH', 'AG_DUCKMANZ', 'AG_Sceat', 'AG_DMG']",16,0,0,3405.603375,64.26,437.04371452331543,727.6297500000001
0,0,1,64.26,byplayer,0,1,98,0,0,0.0,AG_DUCKMANZ,account.6cec6b06f76f48638fd4246f0725b43c,0,2227.083,0,0,0,940.705,0,359.54822,3,16,137.04371452331543,AG,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2486ae45-0815-4df3-9269-c5d4a00bf7ae,"['AG_ThanawatTH', 'AG_DUCKMANZ', 'AG_Sceat', 'AG_DMG']",16,0,0,3405.603375,64.26,437.04371452331543,727.6297500000001
0,0,0,0.0,byplayer,0,0,99,0,0,0.0,AG_Sceat,account.d5a6c85374884406b318a319b9a87c9c,0,3162.3394,0,0,0,659.976,0,309.24738,4,16,100.0,AG,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2486ae45-0815-4df3-9269-c5d4a00bf7ae,"['AG_ThanawatTH', 'AG_DUCKMANZ', 'AG_Sceat', 'AG_DMG']",16,0,0,3405.603375,64.26,437.04371452331543,727.6297500000001
0,0,0,0.0,byplayer,0,0,100,0,0,0.0,AG_DMG,account.776570bfefe04e3c90e881fbb688b6a1,0,3391.402,0,0,0,657.704,0,344.9189,12,16,100.0,AG,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2486ae45-0815-4df3-9269-c5d4a00bf7ae,"['AG_ThanawatTH', 'AG_DUCKMANZ', 'AG_Sceat', 'AG_DMG']",16,0,0,3405.603375,64.26,437.04371452331543,727.6297500000001
1,1,1,97.99984,byplayer,0,0,85,0,0,0.0,TL_jeemzz,account.f54b0a752d8d4e22ad2a67f79ccf2aff,0,4242.748,0,0,0,973.983,0,853.6035,8,11,100.00000190734863,TL,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,73cce5f2-f9fa-4e91-be0a-9c5ebc6bd67c,"['TL_jeemzz', 'TL_Sambty', 'TL_Jembty', 'TL_ibiza']",11,3,6,4722.806385,626.179093,656.1043758392334,1261.5227499999999
2,2,2,185.57965,byplayer,0,1,16,2,2,22.762627,TL_Sambty,account.968b0253d4654780bbdef5fce483db58,1,3480.7915,0,0,0,1268.743,0,865.64954,3,11,190.81500244140625,TL,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,73cce5f2-f9fa-4e91-be0a-9c5ebc6bd67c,"['TL_jeemzz', 'TL_Sambty', 'TL_Jembty', 'TL_ibiza']",11,3,6,4722.806385,626.179093,656.1043758392334,1261.5227499999999
0,2,1,63.229153,byplayer,0,1,84,0,0,0.0,TL_Jembty,account.1651cfaf5f2941b1935f858705005d3b,0,3799.1375,0,0,0,1539.498,0,1131.1226,4,11,200.0,TL,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,73cce5f2-f9fa-4e91-be0a-9c5ebc6bd67c,"['TL_jeemzz', 'TL_Sambty', 'TL_Jembty', 'TL_ibiza']",11,3,6,4722.806385,626.179093,656.1043758392334,1261.5227499999999
1,1,3,279.37045,byplayer,0,1,26,1,1,45.82242,TL_ibiza,account.f399afc807be47e992dc902e5f6f501a,0,3048.4966,0,0,0,1263.867,0,1469.6763,5,11,165.28937149047852,TL,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,73cce5f2-f9fa-4e91-be0a-9c5ebc6bd67c,"['TL_jeemzz', 'TL_Sambty', 'TL_Jembty', 'TL_ibiza']",11,3,6,4722.806385,626.179093,656.1043758392334,1261.5227499999999
0,0,1,0.0,byplayer,0,1,94,0,0,0.0,RUM_Microfry,account.8dd8e1e6d7d74d3cb660c56b34c217fa,1,2012.8806,0,0,0,1188.652,0,1039.8461,5,14,180.24146270751953,RUM,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2c56aaab-8b7d-4184-839a-263550f09b1d,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",14,1,0,2947.950375,197.516426,752.7615032196045,1190.5819999999999
0,0,1,30.295616,byplayer,0,0,95,0,0,0.0,RUM_Waldoe,account.17c1da6a25a140c59c969197653218dc,0,2462.7537,0,0,0,1188.651,0,996.4952,3,14,120.13301849365234,RUM,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2c56aaab-8b7d-4184-839a-263550f09b1d,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",14,1,0,2947.950375,197.516426,752.7615032196045,1190.5819999999999
0,0,2,30.17711,byplayer,0,2,93,0,0,0.0,RUM_LosHD,account.ebc9af8b420a4a5eb15c04cf142f4220,0,1680.6825,0,0,0,1192.511,0,1127.2838,3,14,193.87106895446777,RUM,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2c56aaab-8b7d-4184-839a-263550f09b1d,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",14,1,0,2947.950375,197.516426,752.7615032196045,1190.5819999999999
1,0,5,137.0437,byplayer,0,2,28,1,1,36.550915,RUM_CherryPoppin,account.7f6bbfbe68f04a84b8588148a46fdeb2,0,1380.4681,0,0,0,1192.514,0,1091.3915,5,14,258.51595306396484,RUM,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,2c56aaab-8b7d-4184-839a-263550f09b1d,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin']",14,1,0,2947.950375,197.516426,752.7615032196045,1190.5819999999999
0,0,1,20.133018,byplayer,0,0,70,0,0,0.0,RJ_CiNVe,account.bc437ae3aca541d39c7c8897e8f87775,0,5469.9263,0,0,0,639.342,0,457.0919,2,4,127.76534843444824,RJ,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,efe501b5-6b46-44c6-a7fe-2de6fff4073f,"['RJ_CiNVe', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_SeaKingJAWS']",4,4,1,5514.3205925,344.47105799999997,696.8408660888672,1104.0294999999999
1,1,6,87.14,byzone,0,5,18,1,1,13.204418,RJ_Wesker,account.fa961c1747d44737b336cf80e3cb56ab,0,5114.5566,0,0,0,1731.655,0,1612.136,10,4,274.47265243530273,RJ,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,efe501b5-6b46-44c6-a7fe-2de6fff4073f,"['RJ_CiNVe', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_SeaKingJAWS']",4,4,1,5514.3205925,344.47105799999997,696.8408660888672,1104.0294999999999
0,0,0,0.0,byplayer,0,0,71,0,0,0.0,RJ_MUSHAMARU,account.a9b631bf409640249daabf2bc275ac4a,0,2859.3582,0,0,0,291.72,0,111.08377,4,4,100.00000190734863,RJ,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,efe501b5-6b46-44c6-a7fe-2de6fff4073f,"['RJ_CiNVe', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_SeaKingJAWS']",4,4,1,5514.3205925,344.47105799999997,696.8408660888672,1104.0294999999999
1,0,4,237.19804,byplayer,0,3,8,1,3,32.545948,RJ_SeaKingJAWS,account.b07cf921cce647cc86732caebfa5e3a1,1,5184.1143,0,0,0,1753.401,0,1249.0153,5,4,194.60286331176758,RJ,26a41af7-1c96-4cf1-9fb6-7b73309c6d0d,2019-11-11T01:00:03Z,Erangel,1782,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/01/31/f2f9fb48-0422-11ea-adac-0a586469f39e-telemetry.json,efe501b5-6b46-44c6-a7fe-2de6fff4073f,"['RJ_CiNVe', 'RJ_Wesker', 'RJ_MUSHAMARU', 'RJ_SeaKingJAWS']",4,4,1,5514.3205925,344.47105799999997,696.8408660888672,1104.0294999999999
