dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,0.0,byplayer,0,7,87,0,0,0.0,ENA_Joy,account.08798605803844828b8f60e1cbe5371a,0,2290.04,0,0,0,980.009,0,1305.1488,8,10,154.9854621887207,ENA,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,735d633a-55f4-4381-a2cd-3295715ac227,"['ENA_Joy', 'ENA_Alphaca', 'ENA_Raeng', 'ENA_Mickey']",10,0,0,3788.9371249999995,224.927234,803.4711494445801,1124.41525
0,0,1,156.19759,byplayer,0,7,85,0,0,0.0,ENA_Alphaca,account.38219d860f834109ab12ef504971df64,0,3285.55,0,0,0,1173.407,0,1120.866,6,10,200.00000381469727,ENA,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,735d633a-55f4-4381-a2cd-3295715ac227,"['ENA_Joy', 'ENA_Alphaca', 'ENA_Raeng', 'ENA_Mickey']",10,0,0,3788.9371249999995,224.927234,803.4711494445801,1124.41525
0,0,4,35.787704,byplayer,0,1,84,0,0,0.0,ENA_Raeng,account.408cebb50db64f4e9041ede1255b4a2c,0,2273.0867,0,0,0,1178.419,0,1543.7567,5,10,212.7540111541748,ENA,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,735d633a-55f4-4381-a2cd-3295715ac227,"['ENA_Joy', 'ENA_Alphaca', 'ENA_Raeng', 'ENA_Mickey']",10,0,0,3788.9371249999995,224.927234,803.4711494445801,1124.41525
0,0,3,32.94194,byplayer,0,4,86,0,0,0.0,ENA_Mickey,account.19c43f2c3687417b92beb392c1908553,1,1953.5441,0,0,0,1165.826,0,1383.7562,6,10,235.7316722869873,ENA,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,735d633a-55f4-4381-a2cd-3295715ac227,"['ENA_Joy', 'ENA_Alphaca', 'ENA_Raeng', 'ENA_Mickey']",10,0,0,3788.9371249999995,224.927234,803.4711494445801,1124.41525
3,2,5,397.49792,byplayer,0,3,5,1,3,506.90726,RUM_Microfry,account.b861e41182044697a2481373afa90600,1,8333.48,0,0,0,1703.716,0,2132.6187,2,2,335.1011619567871,RUM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,853259a5-23f4-4ae3-84a2-3b9efb1f1168,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_CherryPoppin', 'RUM_LosHD']",2,13,11,9911.550075,2254.47602,1419.193886756897,1732.83575
0,4,4,425.66757,byplayer,0,1,10,1,2,171.36519,RUM_Waldoe,account.cdc590aebb5346cd8ec63a74f8e2c9dc,1,6807.322,0,0,0,1742.542,0,2904.9065,5,2,288.65357780456543,RUM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,853259a5-23f4-4ae3-84a2-3b9efb1f1168,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_CherryPoppin', 'RUM_LosHD']",2,13,11,9911.550075,2254.47602,1419.193886756897,1732.83575
2,2,7,610.4832,byplayer,1,3,11,1,2,177.48277,RUM_CherryPoppin,account.7ff718aa9dc54aeea093b6c1b30407ef,1,7455.5337,0,0,0,1742.539,1,2637.9946,3,2,381.3210334777832,RUM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,853259a5-23f4-4ae3-84a2-3b9efb1f1168,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_CherryPoppin', 'RUM_LosHD']",2,13,11,9911.550075,2254.47602,1419.193886756897,1732.83575
5,3,6,820.82733,byplayer,1,3,1,1,6,158.23972,RUM_LosHD,account.1302383c76e4406493fe67737c8cc9d2,0,6313.19,0,0,0,1742.546,0,3061.1548,4,2,414.11811351776123,RUM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,853259a5-23f4-4ae3-84a2-3b9efb1f1168,"['RUM_Microfry', 'RUM_Waldoe', 'RUM_CherryPoppin', 'RUM_LosHD']",2,13,11,9911.550075,2254.47602,1419.193886756897,1732.83575
0,2,2,43.671593,byplayer,0,1,80,0,0,0.0,LZR_Uncivil,account.7b64f185e57d4ef691eb38f760148515,0,3959.6716,0,0,0,1227.568,0,1692.563,7,8,217.99143028259277,LZR,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,aae0c787-7f74-44f5-bec8-a9b4ed4e7c79,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",8,5,3,5516.117400000001,424.730194,1349.1091947555542,1224.4317500000002
1,1,4,252.08499,byplayer,1,3,17,1,2,36.89054,LZR_luke12,account.47776c885669426a823095f608d6342b,0,3588.1118,0,0,0,1216.688,0,1596.3821,4,8,283.0176706314087,LZR,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,aae0c787-7f74-44f5-bec8-a9b4ed4e7c79,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",8,5,3,5516.117400000001,424.730194,1349.1091947555542,1224.4317500000002
2,0,3,106.83361,byplayer,0,6,6,1,3,348.427,LZR_aLOW,account.b9642957c67648f6921c39e36ba25941,1,3834.1418,0,0,0,1227.565,0,1415.2863,6,8,347.2664966583252,LZR,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,aae0c787-7f74-44f5-bec8-a9b4ed4e7c79,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",8,5,3,5516.117400000001,424.730194,1349.1091947555542,1224.4317500000002
0,0,5,22.140001,byplayer,0,9,81,0,0,0.0,LZR_PurdyKurty,account.c76e6aa1cd5242acb24883e6e9e39adb,2,4443.4546,0,0,0,1225.906,0,1534.8584,7,8,500.83359718322754,LZR,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,aae0c787-7f74-44f5-bec8-a9b4ed4e7c79,"['LZR_Uncivil', 'LZR_luke12', 'LZR_aLOW', 'LZR_PurdyKurty']",8,5,3,5516.117400000001,424.730194,1349.1091947555542,1224.4317500000002
3,1,9,581.4896,alive,0,3,8,1,2,25.4598,4AM_xxxLu,account.963ddad31fab42baa8458d0004856432,0,286.97534,0,0,0,1742.624,0,2885.2625,5,1,279.1560516357422,4AM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,59731a17-a8d1-49e6-ae98-e35553986e4e,"['4AM_xxxLu', '4AM_Forever', '4AM_We1less', '4AM_ZGGO1']",1,11,5,3760.5598975000003,2346.68296,758.1172542572021,1742.624
4,1,5,746.2832,alive,0,1,2,1,4,108.21424,4AM_Forever,account.ee40770ce95f407299e9eb39f896ce40,1,573.08215,0,0,0,1742.624,0,2567.3867,5,1,103.11590003967285,4AM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,59731a17-a8d1-49e6-ae98-e35553986e4e,"['4AM_xxxLu', '4AM_Forever', '4AM_We1less', '4AM_ZGGO1']",1,11,5,3760.5598975000003,2346.68296,758.1172542572021,1742.624
1,2,9,474.232,alive,0,1,9,1,2,107.5609,4AM_We1less,account.b181275686294c829f3e887d0b278ee6,0,1032.047,0,0,0,1742.624,0,3018.4978,4,1,100.00000381469727,4AM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,59731a17-a8d1-49e6-ae98-e35553986e4e,"['4AM_xxxLu', '4AM_Forever', '4AM_We1less', '4AM_ZGGO1']",1,11,5,3760.5598975000003,2346.68296,758.1172542572021,1742.624
2,1,5,544.67816,alive,1,5,4,1,3,113.619736,4AM_ZGGO1,account.8fe658e0a8da4c4d8d88ce592264e281,0,956.1373,0,0,0,1742.624,1,3722.8508,4,1,275.84529876708984,4AM,eddef844-ab8d-42f3-ac6d-5d78f28745df,2019-11-25T04:20:36Z,Erangel,1742,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/51/3e348be3-0f3f-11ea-8b2e-0a5864602270-telemetry.json,59731a17-a8d1-49e6-ae98-e35553986e4e,"['4AM_xxxLu', '4AM_Forever', '4AM_We1less', '4AM_ZGGO1']",1,11,5,3760.5598975000003,2346.68296,758.1172542572021,1742.624
