dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,6,233.32993,byplayer,1,4,19,1,1,66.42317,4AM_Forever,account.2f037cf3f4704ee4950c2bdced546a52,1,2905.4854,0,0,0,1465.861,0,1538.7781,3,4,415.5014171600342,4AM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,7082641b-7bfd-4323-b76b-ef1c1590f328,"['4AM_Forever', '4AM_We1less', '4AM_ZGGO1', '4AM_xxxLu']",4,4,3,4638.6205,1381.3844900000001,1348.097939491272,1538.1355000000003
2,3,8,421.0621,byplayer,1,4,17,1,1,191.84216,4AM_We1less,account.f7150b1d502b42d88d88884b63d9a5d7,2,3360.28,0,0,0,1564.708,0,2083.9424,7,4,380.03177547454834,4AM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,7082641b-7bfd-4323-b76b-ef1c1590f328,"['4AM_Forever', '4AM_We1less', '4AM_ZGGO1', '4AM_xxxLu']",4,4,3,4638.6205,1381.3844900000001,1348.097939491272,1538.1355000000003
1,0,7,622.50574,byplayer,1,3,16,1,1,577.5047,4AM_ZGGO1,account.f5ca3f884d3c4615a67b09a2b9be9e5b,0,2491.798,0,0,0,1567.917,0,1767.4003,6,4,242.17222690582275,4AM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,7082641b-7bfd-4323-b76b-ef1c1590f328,"['4AM_Forever', '4AM_We1less', '4AM_ZGGO1', '4AM_xxxLu']",4,4,3,4638.6205,1381.3844900000001,1348.097939491272,1538.1355000000003
0,0,5,104.48672,byplayer,0,4,18,1,1,242.38254,4AM_xxxLu,account.f361c99c437d40c1a361139cb46c0579,0,3038.2488,0,0,0,1554.056,0,1368.549,3,4,310.3925199508667,4AM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,7082641b-7bfd-4323-b76b-ef1c1590f328,"['4AM_Forever', '4AM_We1less', '4AM_ZGGO1', '4AM_xxxLu']",4,4,3,4638.6205,1381.3844900000001,1348.097939491272,1538.1355000000003
2,0,4,88.57699,byplayer,1,2,11,1,2,578.0181,GNS_hwinn,account.ee16df41e70c4e9c8b676a9ced840668,0,5880.034,0,0,0,1258.522,0,1037.0941,5,9,280.4185562133789,GNS,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,58b63a41-271f-42c6-baec-346a3ccc070e,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",9,2,1,6615.342,256.95577000000003,1068.44411277771,1114.2945
0,0,3,84.07487,byplayer,0,3,86,0,0,0.0,GNS_Nerf,account.c05392d139b047018f59a7b62d2b29cb,0,5918.4233,0,0,0,1267.122,0,1605.8014,3,9,329.7851905822754,GNS,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,58b63a41-271f-42c6-baec-346a3ccc070e,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",9,2,1,6615.342,256.95577000000003,1068.44411277771,1114.2945
0,0,3,0.0,byplayer,0,3,88,0,0,0.0,GNS_Pr0phie,account.6215a8dc42c34975b4be87aaa99c30e2,1,4254.648,0,0,0,673.014,0,534.2504,5,9,253.76646614074707,GNS,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,58b63a41-271f-42c6-baec-346a3ccc070e,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",9,2,1,6615.342,256.95577000000003,1068.44411277771,1114.2945
0,1,6,84.30391,byplayer,0,5,87,0,0,0.0,GNS_Kaymind,account.8476c8b8df21479d96f1d89083166234,0,5739.975,0,0,0,1258.52,0,1491.1418,3,9,204.4738998413086,GNS,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,58b63a41-271f-42c6-baec-346a3ccc070e,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Pr0phie', 'GNS_Kaymind']",9,2,1,6615.342,256.95577000000003,1068.44411277771,1114.2945
2,1,1,502.8445,byplayer,1,1,4,1,3,468.3212,RUM_Waldoe,account.17c1da6a25a140c59c969197653218dc,0,6096.931,0,0,0,1708.004,2,1472.5911,3,2,90.25456237792969,RUM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,55d89089-191d-4da6-8e96-2fdc00d69722,"['RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD', 'RUM_CherryPoppin']",2,6,5,7292.56871,1384.78663,802.4918870925903,1712.58225
2,1,4,277.42334,byplayer,0,6,8,1,2,225.46396,RUM_Microfry,account.8dd8e1e6d7d74d3cb660c56b34c217fa,0,6094.294,0,0,0,1683.005,0,1323.8556,5,2,276.9927043914795,RUM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,55d89089-191d-4da6-8e96-2fdc00d69722,"['RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD', 'RUM_CherryPoppin']",2,6,5,7292.56871,1384.78663,802.4918870925903,1712.58225
1,1,4,455.3467,byplayer,1,3,14,1,1,91.71884,RUM_LosHD,account.ebc9af8b420a4a5eb15c04cf142f4220,0,5778.9893,0,0,0,1743.719,1,1200.1056,5,2,304.08414363861084,RUM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,55d89089-191d-4da6-8e96-2fdc00d69722,"['RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD', 'RUM_CherryPoppin']",2,6,5,7292.56871,1384.78663,802.4918870925903,1712.58225
0,2,3,149.17209,byplayer,0,0,76,0,0,0.0,RUM_CherryPoppin,account.7f6bbfbe68f04a84b8588148a46fdeb2,0,6270.6377,0,0,0,1715.601,0,932.87054,4,2,131.1604766845703,RUM,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,55d89089-191d-4da6-8e96-2fdc00d69722,"['RUM_Waldoe', 'RUM_Microfry', 'RUM_LosHD', 'RUM_CherryPoppin']",2,6,5,7292.56871,1384.78663,802.4918870925903,1712.58225
0,0,1,77.43796,byplayer,0,0,82,0,0,0.0,DTN_ISCO,account.4cecff212cf44bbd8d1619cb04f447e9,0,10675.334,0,0,0,943.888,0,669.1909,5,7,100.0,DTN,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,dac1d956-3898-4294-a0d6-cc91100908f8,"['DTN_ISCO', 'DTN_WICK2D', 'DTN_Aqua5', 'DTN_Hikari']",7,1,3,11806.204195000002,826.41598,792.6326103210449,1070.93325
2,0,2,194.0,byplayer,0,1,83,0,0,0.0,DTN_WICK2D,account.c3536911c5624b2c92d9b04e04bd89f6,0,11007.695,0,0,0,919.865,0,693.20374,3,7,118.99999618530273,DTN,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,dac1d956-3898-4294-a0d6-cc91100908f8,"['DTN_ISCO', 'DTN_WICK2D', 'DTN_Aqua5', 'DTN_Hikari']",7,1,3,11806.204195000002,826.41598,792.6326103210449,1070.93325
4,3,3,414.59802,byplayer,0,11,24,1,1,29.33014,DTN_Aqua5,account.1f764aeb29fd46d08199057ae5ad34f6,0,11077.022,0,0,0,1375.2,0,969.2751,4,7,278.4166946411133,DTN,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,dac1d956-3898-4294-a0d6-cc91100908f8,"['DTN_ISCO', 'DTN_WICK2D', 'DTN_Aqua5', 'DTN_Hikari']",7,1,3,11806.204195000002,826.41598,792.6326103210449,1070.93325
0,0,3,140.38,byplayer,0,3,81,0,0,0.0,DTN_Hikari,account.c5eb110fd8eb4f6f8b49f3387a52f0b4,0,11250.832,0,0,0,1044.78,0,882.26404,2,7,295.2159194946289,DTN,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,dac1d956-3898-4294-a0d6-cc91100908f8,"['DTN_ISCO', 'DTN_WICK2D', 'DTN_Aqua5', 'DTN_Hikari']",7,1,3,11806.204195000002,826.41598,792.6326103210449,1070.93325
0,0,1,0.0,byplayer,0,0,98,0,0,0.0,ATH_Zoidm8,account.0ff947225279491e8ffcb934c9e52699,0,4419.3667,0,0,0,1054.679,0,1137.1973,6,14,103.0,ATH,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,6d176aab-1510-437e-af26-21fe3ffa21fe,"['ATH_Zoidm8', 'ATH_Fludd', 'ATH_Jouxy', 'ATH_Xtreme']",14,2,0,5977.790099999999,550.3985,267.0546684265137,1120.73075
1,0,0,138.07896,byplayer,0,2,33,1,1,61.686733,ATH_Fludd,account.05a90cacafd548d195ee624778e634ee,0,4706.5396,0,0,0,1164.667,0,996.2556,3,14,35.0,ATH,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,6d176aab-1510-437e-af26-21fe3ffa21fe,"['ATH_Zoidm8', 'ATH_Fludd', 'ATH_Jouxy', 'ATH_Xtreme']",14,2,0,5977.790099999999,550.3985,267.0546684265137,1120.73075
0,0,1,142.72894,byplayer,0,0,97,0,0,0.0,ATH_Jouxy,account.78ccaa5a56794aa1ba5f09b9e6243901,0,4782.2095,0,0,0,1110.448,0,1389.9318,3,14,100.00000381469727,ATH,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,6d176aab-1510-437e-af26-21fe3ffa21fe,"['ATH_Zoidm8', 'ATH_Fludd', 'ATH_Jouxy', 'ATH_Xtreme']",14,2,0,5977.790099999999,550.3985,267.0546684265137,1120.73075
1,0,0,269.5906,byplayer,0,0,34,1,1,61.19147,ATH_Xtreme,account.cf5561d76c0c4acdbf68f237362ed876,0,5052.3447,0,0,0,1153.129,0,1427.3152,5,14,29.054664611816406,ATH,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,6d176aab-1510-437e-af26-21fe3ffa21fe,"['ATH_Zoidm8', 'ATH_Fludd', 'ATH_Jouxy', 'ATH_Xtreme']",14,2,0,5977.790099999999,550.3985,267.0546684265137,1120.73075
1,0,4,8.700493,byplayer,1,2,28,1,1,17.426868,SST_CrazySam,account.ddc5c0c658474cf5b2e4b3929729deea,0,6373.63,0,0,0,1144.162,0,2094.595,4,11,235.53895378112793,SST,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,de933450-c12e-4f80-b717-41010053e6e2,"['SST_CrazySam', 'SST_gabha', 'SST_fiachan', 'SST_kendesu']",11,2,3,8812.153375,369.917453,1201.2537384033203,1163.26975
0,1,1,102.25327,byplayer,0,2,91,0,0,0.0,SST_gabha,account.1877c6fdec734682925b3a006374ae07,0,7414.59,0,0,0,1146.345,0,1424.9756,4,11,207.85399436950684,SST,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,de933450-c12e-4f80-b717-41010053e6e2,"['SST_CrazySam', 'SST_gabha', 'SST_fiachan', 'SST_kendesu']",11,2,3,8812.153375,369.917453,1201.2537384033203,1163.26975
0,1,4,158.96368,byplayer,0,6,90,0,0,0.0,SST_fiachan,account.23b2e9c638e74f848169bb38e18f5d09,0,7408.899,0,0,0,1231.848,0,1442.5955,6,11,460.88122940063477,SST,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,de933450-c12e-4f80-b717-41010053e6e2,"['SST_CrazySam', 'SST_gabha', 'SST_fiachan', 'SST_kendesu']",11,2,3,8812.153375,369.917453,1201.2537384033203,1163.26975
1,1,3,100.00001,byplayer,0,3,29,1,1,44.414623,SST_kendesu,account.142cff12c5c3448fb011698f284188d8,0,7601.085,0,0,0,1130.724,0,1488.2434,5,11,296.9795608520508,SST,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,de933450-c12e-4f80-b717-41010053e6e2,"['SST_CrazySam', 'SST_gabha', 'SST_fiachan', 'SST_kendesu']",11,2,3,8812.153375,369.917453,1201.2537384033203,1163.26975
1,0,2,238.55353,byplayer,1,2,26,1,1,29.523022,WCK_Harald,account.917b2ef248a34b4c8c99d33c8205e66e,0,2969.5874,0,0,0,1136.763,0,1135.5466,8,10,286.6804656982422,WCK,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,3f6d314e-408a-4361-a51d-3bd919ca1960,"['WCK_Harald', 'WCK_RiboxD', 'WCK_SzylzEN', 'WCK_Ragnar']",10,4,0,4160.4160999999995,616.88245,813.5443048477173,1036.1367500000001
1,0,2,161.13643,byplayer,0,5,27,1,1,25.347467,WCK_RiboxD,account.9209ecdf450642a58cf8b9a18e0cbd39,0,3267.1882,0,0,0,1128.313,1,1334.3086,6,10,235.50382232666016,WCK,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,3f6d314e-408a-4361-a51d-3bd919ca1960,"['WCK_Harald', 'WCK_RiboxD', 'WCK_SzylzEN', 'WCK_Ragnar']",10,4,0,4160.4160999999995,616.88245,813.5443048477173,1036.1367500000001
1,0,1,217.19249,byplayer,0,1,12,1,2,123.80289,WCK_SzylzEN,account.847a74c45a69429b825c9431ffadb496,0,2460.7502,0,0,0,1240.353,0,1801.5238,4,10,168.18862438201904,WCK,fc259c35-7bc3-4463-828e-341b87c39799,2019-11-10T03:47:10Z,Miramar,1743,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/04/17/03469086-0371-11ea-adac-0a586469f39e-telemetry.json,3f6d314e-408a-4361-a51d-3bd919ca1960,"['WCK_Harald', 'WCK_RiboxD', 'WCK_SzylzEN', 'WCK_Ragnar']",10,4,0,4160.4160999999995,616.88245,813.5443048477173,1036.1367500000001
