dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,5,184.7066,byplayer,0,6,39,0,0,0.0,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,1,5092.227,0,0,0,971,0,925.9456,4,8,220.74592685699463,TSM,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,a93a90f8-0060-462c-8de7-6ef41d984a05,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",8,3,4,6729.0500250000005,889.76899,878.2807064056396,1254.75
0,2,4,265.0871,byplayer,0,5,22,1,1,12.947095,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,6165.3433,0,0,0,1551,0,1089.2156,5,8,256.3494749069214,TSM,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,a93a90f8-0060-462c-8de7-6ef41d984a05,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",8,3,4,6729.0500250000005,889.76899,878.2807064056396,1254.75
0,0,2,81.02986,byplayer,0,1,40,0,0,0.0,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,4920.287,0,0,0,946,0,860.6488,4,8,179.99999809265137,TSM,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,a93a90f8-0060-462c-8de7-6ef41d984a05,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",8,3,4,6729.0500250000005,889.76899,878.2807064056396,1254.75
3,2,4,358.94543,byplayer,1,6,13,1,2,114.44193,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,6865.1475,0,0,0,1551,1,997.3853,4,8,221.18530654907227,TSM,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,a93a90f8-0060-462c-8de7-6ef41d984a05,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",8,3,4,6729.0500250000005,889.76899,878.2807064056396,1254.75
1,1,4,141.18286,byplayer,0,1,24,1,1,13.232227,PeRo_Aixleft,account.07163e02f10144a0b113a2b86e47bf53,0,9789.668,0,0,0,1162,0,722.9348,9,11,140.03763961791992,PeRo,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,4eef9258-ef81-4943-936f-59ba479e8ac5,"['PeRo_Aixleft', 'PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu']",11,2,2,9974.2543575,335.997336,515.1711273193359,1160.0
0,1,4,135.08055,byplayer,0,0,48,0,0,0.0,PeRo_Myl,account.71942085e3fd42299d2db6324ab0853a,0,8405.935,0,0,0,1155,0,1069.2793,4,11,124.70267868041992,PeRo,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,4eef9258-ef81-4943-936f-59ba479e8ac5,"['PeRo_Aixleft', 'PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu']",11,2,2,9974.2543575,335.997336,515.1711273193359,1160.0
0,0,1,42.190002,byplayer,0,0,25,1,1,43.52298,PeRo_mingz1,account.77b70b21d25b4330a29bca9ce35b4a80,0,9079.021,0,0,0,1161,0,912.65393,6,11,100.0,PeRo,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,4eef9258-ef81-4943-936f-59ba479e8ac5,"['PeRo_Aixleft', 'PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu']",11,2,2,9974.2543575,335.997336,515.1711273193359,1160.0
0,0,2,17.543924,byplayer,0,5,47,0,0,0.0,PeRo_Mamu,account.ad09f23195f64641a432677744aaf8c3,0,8832.36,0,0,0,1162,0,1085.1654,6,11,150.4308090209961,PeRo,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,4eef9258-ef81-4943-936f-59ba479e8ac5,"['PeRo_Aixleft', 'PeRo_Myl', 'PeRo_mingz1', 'PeRo_Mamu']",11,2,2,9974.2543575,335.997336,515.1711273193359,1160.0
2,3,3,713.15186,byplayer,2,4,8,2,3,97.08307,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,2,1876.6924,0,0,0,1889,0,1782.4386,4,3,333.3393154144287,FURY,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f139d4b-a775-4f3f-9f80-1438ccf7958f,"['FURY_Insight', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Ykikamucow']",3,13,4,4008.1751000000004,2515.95014,1390.8208258152008,1868.5
2,0,2,466.05188,byplayer,2,1,11,1,2,71.04265,FURY_Ronon,account.47ec2801a759472eae15f8a5bf923ef6,0,1864.3246,0,0,0,1889,0,1555.0981,4,3,208.9999964237213,FURY,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f139d4b-a775-4f3f-9f80-1438ccf7958f,"['FURY_Insight', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Ykikamucow']",3,13,4,4008.1751000000004,2515.95014,1390.8208258152008,1868.5
3,1,7,1036.5314,byplayer,2,8,3,2,5,112.8486,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,2438.7947,0,0,0,1889,0,1495.3402,6,3,423.03939628601074,FURY,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f139d4b-a775-4f3f-9f80-1438ccf7958f,"['FURY_Insight', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Ykikamucow']",3,13,4,4008.1751000000004,2515.95014,1390.8208258152008,1868.5
3,0,5,300.215,byplayer,1,10,9,2,3,39.20211,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,3710.9104,0,0,0,1807,0,1309.1014,3,3,425.44211769104004,FURY,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f139d4b-a775-4f3f-9f80-1438ccf7958f,"['FURY_Insight', 'FURY_Ronon', 'FURY_Fludd', 'FURY_Ykikamucow']",3,13,4,4008.1751000000004,2515.95014,1390.8208258152008,1868.5
1,1,5,208.9683,byplayer,1,6,27,1,1,13.839063,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,4480.28,0,0,0,1157,0,1102.7557,5,12,291.1565980911255,SQ,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f58527d-73ac-48ff-8a70-bec7bd6bfaf5,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",12,2,1,5818.6478625,420.851766,1028.5075387954712,1131.0
0,0,2,0.0,byplayer,0,2,50,0,0,0.0,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,4603.7163,0,0,0,1049,0,885.3904,6,12,155.79208755493164,SQ,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f58527d-73ac-48ff-8a70-bec7bd6bfaf5,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",12,2,1,5818.6478625,420.851766,1028.5075387954712,1131.0
1,0,2,84.424866,byplayer,0,1,26,1,1,187.81952,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,1,5127.6978,0,0,0,1159,0,912.5709,4,12,177.2052001953125,SQ,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f58527d-73ac-48ff-8a70-bec7bd6bfaf5,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",12,2,1,5818.6478625,420.851766,1028.5075387954712,1131.0
0,0,5,127.4586,byplayer,0,6,49,0,0,0.0,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,0,5260.997,0,0,0,1159,1,901.18335,4,12,404.35365295410156,SQ,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,2f58527d-73ac-48ff-8a70-bec7bd6bfaf5,"['SQ_Shrimzy', 'SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN']",12,2,1,5818.6478625,420.851766,1028.5075387954712,1131.0
0,0,4,201.87422,byplayer,0,10,44,0,0,0.0,AAA_Gems,account.73386537702e4d48ae98cf8dfd0adbcf,0,1271.2024,0,0,0,1258,0,2027.2644,7,10,190.2560920715332,AAA,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,b95d87ee-7ae3-425b-82be-b1c314aa671c,"['AAA_Gems', 'AAA_Jayers', 'AAA_Glooms', 'AAA_J4nku2of']",10,1,0,2808.2102325,691.893063,620.6678466796875,1190.75
2,0,3,223.47356,byzone,0,1,23,1,1,202.49423,AAA_Jayers,account.fb9b6d08d0d24304af025bafb676c8a6,1,748.11273,0,0,0,1157,0,1932.999,7,10,141.26883125305176,AAA,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,b95d87ee-7ae3-425b-82be-b1c314aa671c,"['AAA_Gems', 'AAA_Jayers', 'AAA_Glooms', 'AAA_J4nku2of']",10,1,0,2808.2102325,691.893063,620.6678466796875,1190.75
0,0,5,59.475243,byplayer,0,1,46,0,0,0.0,AAA_Glooms,account.d9eef0aedc72485e92e9a31c09f59702,0,796.7668,0,0,0,1168,0,2227.048,4,10,189.14292335510254,AAA,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,b95d87ee-7ae3-425b-82be-b1c314aa671c,"['AAA_Gems', 'AAA_Jayers', 'AAA_Glooms', 'AAA_J4nku2of']",10,1,0,2808.2102325,691.893063,620.6678466796875,1190.75
0,0,1,207.07004,byzone,0,0,45,0,0,0.0,AAA_J4nku2of,account.16ebbbc207d7420eb771a9a21b86f83d,0,1204.2915,0,0,0,1180,0,1025.1561,5,10,100.0,AAA,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,b95d87ee-7ae3-425b-82be-b1c314aa671c,"['AAA_Gems', 'AAA_Jayers', 'AAA_Glooms', 'AAA_J4nku2of']",10,1,0,2808.2102325,691.893063,620.6678466796875,1190.75
4,4,6,997.9234,alive,2,5,4,1,4,184.90993,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,0,10010.388,0,0,0,1958,0,1389.1611,5,1,367.34965896606445,GEX,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,630a4e95-5382-4653-a53c-8d29400b364f,"['GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi', 'GEX_SSR']",1,20,13,10756.23795,3385.7325399999995,1274.60649061203,1920.75
4,4,9,876.8607,alive,2,4,2,2,5,154.24364,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,1,9789.405,0,0,0,1809,2,1525.235,5,1,376.17718505859375,GEX,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,630a4e95-5382-4653-a53c-8d29400b364f,"['GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi', 'GEX_SSR']",1,20,13,10756.23795,3385.7325399999995,1274.60649061203,1920.75
3,4,6,570.3025,alive,0,3,5,1,3,240.43507,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,8679.798,0,0,0,1958,0,1253.6133,6,1,176.62615394592285,GEX,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,630a4e95-5382-4653-a53c-8d29400b364f,"['GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi', 'GEX_SSR']",1,20,13,10756.23795,3385.7325399999995,1274.60649061203,1920.75
8,1,6,940.64594,alive,1,6,1,2,8,158.42744,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,1,9090.139,0,0,0,1958,0,1287.2124,5,1,354.453492641449,GEX,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,630a4e95-5382-4653-a53c-8d29400b364f,"['GEX_ZhenNan', 'GEX_Savior', 'GEX_YanLi', 'GEX_SSR']",1,20,13,10756.23795,3385.7325399999995,1274.60649061203,1920.75
0,0,0,0.0,byplayer,0,0,63,0,0,0.0,GHD_McMoo,account.da079eb9b3604db588b2853c581f2f8d,0,7836.9795,0,0,0,1048,0,652.6993,4,16,100.0,GHD,c4effe60-70ff-4904-baac-486b526b682f,2021-12-02T10:37:29Z,Miramar,1958,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/02/11/11/aaa81c71-5360-11ec-9c21-16512f2173af-telemetry.json,192a8305-220a-48a4-9b8d-5e1814fb851e,"['GHD_McMoo', 'GHD_3007', 'GHD_Sylphyy', 'GHD_d1sgustingg']",16,0,0,7506.37237,136.730804,517.982421875,950.75
