dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,1,76.91431,byplayer,0,4,15,1,2,222.4476,RUM_Waldoe,account.cdc590aebb5346cd8ec63a74f8e2c9dc,1,0.0,0,0,0,1003.069,0,3405.578,3,13,206.5517234802246,RUM,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,66fe7963-4137-46a0-a8a0-d2faeaf3fe89,"['RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin', 'RUM_Microfry']",13,3,1,3437.27185,259.999996,762.6582660675049,1003.10575
0,0,2,33.085686,byplayer,0,0,91,0,0,0.0,RUM_LosHD,account.1302383c76e4406493fe67737c8cc9d2,0,0.0,0,0,0,941.458,0,3431.0488,3,13,125.4286117553711,RUM,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,66fe7963-4137-46a0-a8a0-d2faeaf3fe89,"['RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin', 'RUM_Microfry']",13,3,1,3437.27185,259.999996,762.6582660675049,1003.10575
1,1,2,75.0,byplayer,0,3,90,0,0,0.0,RUM_CherryPoppin,account.7ff718aa9dc54aeea093b6c1b30407ef,0,0.0,0,0,0,1034.75,0,3470.7776,5,13,224.37780952453613,RUM,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,66fe7963-4137-46a0-a8a0-d2faeaf3fe89,"['RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin', 'RUM_Microfry']",13,3,1,3437.27185,259.999996,762.6582660675049,1003.10575
1,0,3,75.0,byplayer,0,2,33,1,1,37.384632,RUM_Microfry,account.b861e41182044697a2481373afa90600,0,0.0,0,0,0,1033.146,0,3441.683,3,13,206.30012130737305,RUM,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,66fe7963-4137-46a0-a8a0-d2faeaf3fe89,"['RUM_Waldoe', 'RUM_LosHD', 'RUM_CherryPoppin', 'RUM_Microfry']",13,3,1,3437.27185,259.999996,762.6582660675049,1003.10575
0,0,3,72.971596,byplayer,0,3,96,0,0,0.0,GEN_taemin,account.c0dc6e797fae40d285310389971e2404,0,626.35004,0,0,0,855.618,0,954.98914,4,15,197.0574016571045,GEN,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,1115c073-03df-458a-b283-53a5c36c3efb,"['GEN_taemin', 'GEN_Esther', 'GEN_Pio', 'GEN_Loki']",15,0,0,2166.6629925,176.417623,837.2632484436035,824.4865
0,0,3,54.64943,byplayer,0,3,97,0,0,0.0,GEN_Esther,account.19b71fbe923947eb995830c7e8143f7b,0,2338.7732,0,0,0,855.616,0,579.5853,3,15,308.4703197479248,GEN,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,1115c073-03df-458a-b283-53a5c36c3efb,"['GEN_taemin', 'GEN_Esther', 'GEN_Pio', 'GEN_Loki']",15,0,0,2166.6629925,176.417623,837.2632484436035,824.4865
0,0,3,48.796597,byplayer,0,5,98,0,0,0.0,GEN_Pio,account.c80fa177b37f494c9a4c2450af078e24,0,574.56683,0,0,0,793.564,0,1151.1091,3,15,211.20259857177734,GEN,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,1115c073-03df-458a-b283-53a5c36c3efb,"['GEN_taemin', 'GEN_Esther', 'GEN_Pio', 'GEN_Loki']",15,0,0,2166.6629925,176.417623,837.2632484436035,824.4865
0,0,3,0.0,byplayer,0,0,99,0,0,0.0,GEN_Loki,account.79695c9bd5cc43b8975373fc4e438f62,1,1887.0637,0,0,0,793.148,0,554.21466,8,15,120.53292846679688,GEN,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,1115c073-03df-458a-b283-53a5c36c3efb,"['GEN_taemin', 'GEN_Esther', 'GEN_Pio', 'GEN_Loki']",15,0,0,2166.6629925,176.417623,837.2632484436035,824.4865
1,0,0,119.288315,byplayer,0,0,94,0,0,0.0,TS_sharky,account.81895902cae4453394b9d3b7daf430ec,0,0.0,0,0,0,437.0,0,867.1052,4,14,100.00000381469727,TS,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,c52961b3-1c6f-4f1b-ba37-27e043bcf3f8,"['TS_sharky', 'TS_Meluke', 'TS_Zanpah', 'TS_Sharpshot4k']",14,0,0,1383.8064285,217.579795,658.2754440307617,612.62925
0,0,0,0.0,byplayer,0,0,95,0,0,0.0,TS_Meluke,account.79ac9941ab664fdf91ae102b28e6832c,0,0.0,0,0,0,87.188,0,8.231514,1,14,100.0,TS,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,c52961b3-1c6f-4f1b-ba37-27e043bcf3f8,"['TS_sharky', 'TS_Meluke', 'TS_Zanpah', 'TS_Sharpshot4k']",14,0,0,1383.8064285,217.579795,658.2754440307617,612.62925
0,0,2,0.0,byplayer,0,3,93,0,0,0.0,TS_Zanpah,account.aebabaaa36a1448182f71ba4b751276a,2,0.0,0,0,0,962.015,0,2468.118,3,14,226.46377754211426,TS,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,c52961b3-1c6f-4f1b-ba37-27e043bcf3f8,"['TS_sharky', 'TS_Meluke', 'TS_Zanpah', 'TS_Sharpshot4k']",14,0,0,1383.8064285,217.579795,658.2754440307617,612.62925
0,0,0,98.29148,byplayer,0,6,92,0,0,0.0,TS_Sharpshot4k,account.f8294a7dc61944fd968142d3773378d9,0,0.0,0,0,0,964.314,0,2191.771,3,14,231.8116626739502,TS,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,c52961b3-1c6f-4f1b-ba37-27e043bcf3f8,"['TS_sharky', 'TS_Meluke', 'TS_Zanpah', 'TS_Sharpshot4k']",14,0,0,1383.8064285,217.579795,658.2754440307617,612.62925
0,0,6,28.284517,byplayer,0,10,83,0,0,0.0,VC_DJboy,account.94c7db5413c04b62825efd90e8f929c3,0,3756.8748,0,0,0,1121.727,0,1818.7972,4,11,195.7687473297119,VC,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,d46dc601-5a19-4901-9f5f-13f54a03356e,"['VC_DJboy', 'VC_Tide', 'VC_Summer', 'VC_DouM']",11,0,0,5949.3676000000005,28.284517,497.76875495910645,1091.1245
0,0,3,0.0,byplayer,0,7,84,0,0,0.0,VC_Tide,account.5a9410be152c4e67814ef6b2c538f729,0,4912.2827,0,0,0,1084.997,0,1589.8102,4,11,100.0000057220459,VC,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,d46dc601-5a19-4901-9f5f-13f54a03356e,"['VC_DJboy', 'VC_Tide', 'VC_Summer', 'VC_DouM']",11,0,0,5949.3676000000005,28.284517,497.76875495910645,1091.1245
0,0,4,0.0,byplayer,0,11,86,0,0,0.0,VC_Summer,account.23942fdca8ee4998982bbc88318ce1f7,0,3723.6023,0,0,0,1078.722,0,1999.6764,5,11,100.00000381469727,VC,94c529f7-d59b-4b8b-8dbf-ba37b0b03713,2019-11-24T03:47:45Z,Sanhok,1374,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/24/04/13/b5ee4d0c-0e70-11ea-8b2e-0a5864602270-telemetry.json,d46dc601-5a19-4901-9f5f-13f54a03356e,"['VC_DJboy', 'VC_Tide', 'VC_Summer', 'VC_DouM']",11,0,0,5949.3676000000005,28.284517,497.76875495910645,1091.1245
