dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,6,109.834404,alive,0,3,43,0,0,0.0,GR_Jungdong,account.9f02b737cac54eef8d7fcd815f358ce9,0,3564.03882,0,0,0,1754.505,0,1181.95251,8,1,296.272705078125,GR,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,76ff4051-9890-41a0-a0cb-66f2082c9269,"['GR_Jungdong', 'GR_GuGu99', 'GR_asura', 'GR_nana']",1,7,4,5178.735072500001,779.811144,480.9767017364502,1754.505
3,0,4,293.265,alive,1,0,3,2,4,87.6809158,GR_GuGu99,account.4d221cc9f181494181861f5e8b9a116d,0,3045.19043,0,0,0,1754.505,1,2232.381,3,1,32.43059539794922,GR,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,76ff4051-9890-41a0-a0cb-66f2082c9269,"['GR_Jungdong', 'GR_GuGu99', 'GR_asura', 'GR_nana']",1,7,4,5178.735072500001,779.811144,480.9767017364502,1754.505
1,1,7,94.63774,alive,0,1,17,1,1,34.60724,GR_asura,account.0ef4ff74829c4a4898ec92d52bb75ecb,0,3673.4624,0,0,0,1754.505,1,2237.858,3,1,89.53153419494629,GR,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,76ff4051-9890-41a0-a0cb-66f2082c9269,"['GR_Jungdong', 'GR_GuGu99', 'GR_asura', 'GR_nana']",1,7,4,5178.735072500001,779.811144,480.9767017364502,1754.505
1,2,4,282.074,alive,0,1,6,1,2,172.862213,GR_nana,account.351b954a1da841079de9de8ab2addc30,1,3147.90869,0,0,0,1754.505,0,1632.14844,5,1,62.74186706542969,GR,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,76ff4051-9890-41a0-a0cb-66f2082c9269,"['GR_Jungdong', 'GR_GuGu99', 'GR_asura', 'GR_nana']",1,7,4,5178.735072500001,779.811144,480.9767017364502,1754.505
0,0,1,27.1451321,byplayer,0,0,49,0,0,0.0,MVP_siege,account.f6006b1055f447f8b92fd9715d0d365b,0,4915.076,0,0,0,1061.511,0,907.6755,3,6,103.0,MVP,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,04d582a4-4669-42d2-8d98-5c4a2465ae59,"['MVP_siege', 'MVP_Hexa', 'MVP_JuNe', 'MVP_Spear']",6,0,0,5798.859155,550.3229921,668.9474239349365,1256.15175
0,0,4,221.040436,byplayer,0,4,46,0,0,0.0,MVP_Hexa,account.3e18f5abeef94fc5a7787c8efc3efd4e,0,4461.678,0,0,0,1321.039,0,1597.28613,5,6,273.0160446166992,MVP,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,04d582a4-4669-42d2-8d98-5c4a2465ae59,"['MVP_siege', 'MVP_Hexa', 'MVP_JuNe', 'MVP_Spear']",6,0,0,5798.859155,550.3229921,668.9474239349365,1256.15175
0,0,5,84.44379,byplayer,0,1,47,0,0,0.0,MVP_JuNe,account.b3441fb8e58d48f6a20e55b0431c2607,0,3529.223,0,0,0,1321.031,0,1289.15527,5,6,133.2546730041504,MVP,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,04d582a4-4669-42d2-8d98-5c4a2465ae59,"['MVP_siege', 'MVP_Hexa', 'MVP_JuNe', 'MVP_Spear']",6,0,0,5798.859155,550.3229921,668.9474239349365,1256.15175
0,0,5,217.693634,byplayer,0,1,48,0,0,0.0,MVP_Spear,account.5d65cf96468b49d989fd9fd8f51a08fb,0,5351.05,0,0,0,1321.026,0,1144.29272,5,6,159.6767063140869,MVP,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,04d582a4-4669-42d2-8d98-5c4a2465ae59,"['MVP_siege', 'MVP_Hexa', 'MVP_JuNe', 'MVP_Spear']",6,0,0,5798.859155,550.3229921,668.9474239349365,1256.15175
0,0,1,0.0,byplayer,0,0,71,0,0,0.0,APK_Leclo,account.9c5d358b321046e48699b39b2f70b390,0,1241.74988,0,0,0,462.958,0,330.1834,6,15,100.0,APK,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,5f97820c-0aaa-4af7-8878-cceb9afd3719,"['APK_Leclo', 'APK_Voici', 'APK_Black9', 'APK_KIMGONI']",15,0,1,1601.1101285,491.31143499999996,461.11499977111816,469.5645
1,0,1,168.434235,byplayer,0,0,70,0,0,0.0,APK_Voici,account.6ee57901110446fe9f1b00bcfff900e8,0,1378.09583,0,0,0,485.415,0,449.082123,4,15,108.0,APK,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,5f97820c-0aaa-4af7-8878-cceb9afd3719,"['APK_Leclo', 'APK_Voici', 'APK_Black9', 'APK_KIMGONI']",15,0,1,1601.1101285,491.31143499999996,461.11499977111816,469.5645
1,0,0,140.635,byplayer,0,0,72,0,0,0.0,APK_Black9,account.1492943b878e4943970ae2d3715031b2,0,0.0,0,0,0,444.465,0,866.665161,5,15,100.00000381469727,APK,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,5f97820c-0aaa-4af7-8878-cceb9afd3719,"['APK_Leclo', 'APK_Voici', 'APK_Black9', 'APK_KIMGONI']",15,0,1,1601.1101285,491.31143499999996,461.11499977111816,469.5645
1,1,1,182.2422,byplayer,0,2,69,0,0,0.0,APK_KIMGONI,account.c79270787f7c43d9ba4e603436870eee,0,1702.88452,0,0,0,485.42,0,435.7796,4,15,153.1149959564209,APK,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,5f97820c-0aaa-4af7-8878-cceb9afd3719,"['APK_Leclo', 'APK_Voici', 'APK_Black9', 'APK_KIMGONI']",15,0,1,1601.1101285,491.31143499999996,461.11499977111816,469.5645
1,0,3,372.4944,byplayer,1,2,21,1,1,3.27134776,DE_Under,account.0b219ae97ff549729a71329891202cf2,1,5853.471,0,0,0,1415.277,0,1093.89722,7,3,195.63233184814453,DE,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,c79444d7-79a3-46f6-bbf8-39f2a10d0538,"['DE_Under', 'DE_Juwon', 'DE_Makne', 'DE_Styx']",3,4,0,7459.504414999999,1007.0766169999999,1234.6863689422607,1501.8605000000002
2,0,3,199.814117,byplayer,1,6,20,1,1,5.76326275,DE_Juwon,account.c323e5e59bd34065a43575db736c4d3c,0,5830.537,0,0,0,1487.336,0,1396.09534,7,3,456.87164402008057,DE,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,c79444d7-79a3-46f6-bbf8-39f2a10d0538,"['DE_Under', 'DE_Juwon', 'DE_Makne', 'DE_Styx']",3,4,0,7459.504414999999,1007.0766169999999,1234.6863689422607,1501.8605000000002
1,0,7,66.89,byplayer,0,4,45,0,0,0.0,DE_Makne,account.8e42f66edf144eb3a420faf2baab0337,1,4678.799,0,0,0,1388.712,0,1893.3667,4,3,216.40939807891846,DE,3e1a26e1-7b93-43f7-b8f3-c1138811a238,2019-10-19T10:09:08Z,Erangel,1754,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/10/39/bfb7c3a6-f25c-11e9-b2e5-0a586469f0e6-telemetry.json,c79444d7-79a3-46f6-bbf8-39f2a10d0538,"['DE_Under', 'DE_Juwon', 'DE_Makne', 'DE_Styx']",3,4,0,7459.504414999999,1007.0766169999999,1234.6863689422607,1501.8605000000002
